Title,ArtistName,Rank,Weeks,isNew
tomorrow,chris young,70,4,0
sure thing,miguel,71,4,0
little miss,sugarland,72,12,0
i wanna go,britney spears,73,1,1
where you at,jennifer hudson,74,4,0
hold it against me,britney spears,75,12,0
bring it back,travis porter,76,3,0
sing,my chemical romance,77,8,0
i can't love you back,easton corbin,78,4,0
loser like me,glee cast,79,3,0
country song,seether,80,3,0
boom,snoop dogg featuring t-pain,81,3,0
grove st. party,waka flocka flame featuring kebo gotti,82,3,0
beggin' on your knees,victorious cast featuring victoria justice,83,1,1
fall for your type,jamie foxx featuring drake,84,17,0
boyfriend,big time rush,85,4,0
racks,yc featuring future,86,1,1
georgia clay,josh kelley,87,2,0
party rock anthem,lmfao featuring lauren bennett & goonrock,88,2,0
family man,craig campbell,89,2,0
next to you,chris brown featuring justin bieber,90,2,0
far away,marsha ambrosius,91,3,0
rope,foo fighters,92,5,0
no bs,chris brown,93,17,0
walking,mary mary,94,4,0
welcome to my hood,dj khaled featuring rick ross  plies  lil wayne & t-pain,95,6,0
i smile,kirk franklin,96,4,0
my last,big sean featuring chris brown,97,2,0
this is country music,brad paisley,98,15,0
crazy girl,eli young band,99,4,0
homeboy,eric church,100,3,0
nice for what,drake,1,10,0
psycho,post malone featuring ty dolla $ign,2,16,0
i like it,cardi b  bad bunny & j balvin,3,10,0
god's plan,drake,4,21,0
girls like you,maroon 5 featuring cardi b,5,3,0
lucid dreams,juice wrld,6,5,0
boo'd up,ella mai,7,11,0
the middle,zedd  maren morris & grey,8,20,0
no tears left to cry,ariana grande,9,8,0
meant to be,bebe rexha & florida georgia line,10,34,0
yes indeed,lil baby & drake,11,5,0
this is america,childish gambino,12,6,0
friends,marshmello & anne-marie,13,18,0
walk it talk it,migos featuring drake,14,20,0
mine,bazzi,15,21,0
in my blood,shawn mendes,16,13,0
perfect,ed sheeran,17,42,0
look alive,blocboy jb featuring drake,18,18,0
never be the same,camila cabello,19,26,0
better now,post malone,20,7,0
whatever it takes,imagine dragons,21,20,0
back to you,selena gomez,22,5,0
be careful,cardi b,23,11,0
rockstar,post malone featuring 21 savage,24,39,0
delicate,taylor swift,25,14,0
heaven,kane brown,26,25,0
havana,camila cabello featuring young thug,27,44,0
i'm upset,drake,28,3,0
wait,maroon 5,29,22,0
one kiss,calvin harris & dua lipa,30,10,0
all mine,kanye west,31,2,0
tequila,dan + shay,32,14,0
plug walk,rich the kid,33,18,0
love lies,khalid & normani,34,17,0
new rules,dua lipa,35,46,0
te bote,casper magico  nio garcia  darell  nicky jam  ozuna & bad bunny,36,8,0
freaky friday,lil dicky featuring chris brown,37,13,0
taste,tyga featuring offset,38,3,0
reborn,kids see ghosts,39,1,1
yikes,kanye west,40,2,0
all girls are the same,juice wrld,41,5,0
4th dimension,kids see ghosts featuring louis prima,42,1,1
chun-li,nicki minaj,43,10,0
pray for me,the weeknd & kendrick lamar,44,19,0
one number away,luke combs,45,13,0
i like me better,lauv,46,18,0
feel the love,kids see ghosts,47,1,1
