Title,ArtistName,Rank,Weeks,isNew
i like me better,lauv,39,36,0
sad!,xxxtentacion,40,33,0
wake up in the sky,gucci mane x bruno mars x kodak black,41,5,0
mona lisa,lil wayne featuring kendrick lamar,42,3,0
the middle,zedd  maren morris & grey,43,38,0
she got the best of me,luke combs,44,10,0
no brainer,dj khaled featuring justin bieber  chance the rapper & quavo,45,12,0
ring,cardi b featuring kehlani,46,13,0
tequila,dan + shay,47,32,0
flip the switch,quavo featuring drake,48,1,1
no tears left to cry,ariana grande,49,26,0
always remember us this way,lady gaga,50,2,0
stoopid,6ix9ine featuring bobby shmurda,51,2,0
breathin,ariana grande,52,9,0
w o r k i n  m e,quavo,53,10,0
i'll never love again,lady gaga,54,2,0
falling down,lil peep & xxxtentacion,55,5,0
break up in the end,cole swindell,56,15,0
venom,eminem,57,3,0
lie,nf,58,12,0
smile (living my best life),lil' duval featuring snoop dogg & ball greezy,59,8,0
simple,florida georgia line,60,20,0
pass out,quavo featuring 21 savage,61,1,1
jackie chan,tiesto & dzeko featuring preme & post malone,62,15,0
speechless,dan + shay,63,6,0
drew barrymore,bryce vine,64,10,0
blue tacoma,russell dickerson,65,9,0
lose it,kane brown,66,14,0
no stylist,french montana featuring drake,67,4,0
lost in japan,shawn mendes x zedd,68,4,0
best shot,jimmie allen,69,5,0
killshot,eminem,70,5,0
better,khalid,71,5,0
drunk me,mitchell tenpenny,72,10,0
dangerous,meek mill featuring jeremih & pnb rock,73,9,0
lucky you,eminem featuring joyner lucas,74,7,0
you say,lauren daigle,75,14,0
leave me alone,flipp dinero,76,5,0
new patek,lil uzi vert,77,5,0
hangin' on,chris young,78,7,0
hotel key,old dominion,79,16,0
promises,calvin harris & sam smith,80,9,0
best part,daniel caesar featuring h.e.r.,81,13,0
that's on me,yella beezy,82,12,0
medicine,queen naija,83,20,0
africa,weezer,84,14,0
rich,maren morris,85,2,0
biggest alley oop,quavo,86,1,1
drunk girl,chris janson,87,8,0
rerun,quavo featuring travis scott,88,1,1
desperate man,eric church,89,11,0
this feeling,the chainsmokers featuring kelsea ballerini,90,2,0
don't cry,lil wayne featuring xxxtentacion,91,3,0
noticed,lil mosey,92,4,0
huncho dreams,quavo,93,1,1
chanel (go get it),young thug featuring gunna & lil baby,94,4,0
thunderclouds,labrinth  sia & diplo present... lsd,95,5,0
sunrise  sunburn  sunset,luke bryan,96,16,0
electricity,silk city x dua lipa,97,2,0
drowns the whiskey,jason aldean featuring miranda lambert,98,17,0
if i'm lyin  i'm flyin,kodak black,99,3,0
lose it,quavo featuring lil baby,100,1,1
can't feel my face,the weeknd,1,12,0
cheerleader,omi,2,19,0
watch me,silento,3,27,0
the hills,the weeknd,4,14,0
