Date,ArtistName,Rank,Weeks,isNew
2019-01-05,MONSTA X,29,39,False
2019-01-05,Riley Green,30,10,False
2019-01-05,flora cash,31,12,False
2019-01-05,The Revivalists,32,34,False
2019-01-05,Keala Settle,33,40,False
2019-01-05,Cory Asbury,34,45,False
2019-01-05,Denzel Curry,35,8,False
2019-01-05,Bag Raiders,36,1,True
2019-01-05,The Glorious Sons,37,5,False
2019-01-05,Bryce Vine,38,24,False
2019-01-05,NCT 127,39,20,False
2019-01-05,Summer Walker,40,11,False
2019-01-05,The Struts,41,5,False
2019-01-05,Roddy Ricch,42,3,False
2019-01-05,Joyner Lucas,43,17,False
2019-01-05,NCT DREAM,44,8,False
2019-01-05,Alec Benjamin,45,1,True
2019-01-05,Paulo Londra,46,2,False
2019-01-05,Ashley McBryde,47,4,False
2019-01-05,City Girls,48,5,False
2019-01-05,Blueface,49,1,True
2019-01-05,Brando,50,1,True
2018-12-29,Flipp Dinero,1,16,False
2018-12-29,lovelytheband,2,40,False
2018-12-29,Mitchell Tenpenny,3,25,False
2018-12-29,Lauv,4,68,False
2018-12-29,Dean Lewis,5,15,False
2018-12-29,Jimmie Allen,6,20,False
2018-12-29,NCT,7,30,False
2018-12-29,Queen Naija,8,41,False
2018-12-29,Ava Max,9,8,False
2018-12-29,Jacquees,10,46,False
2018-12-29,Pinkfong,11,13,False
2018-12-29,Louis Tomlinson,12,47,False
2018-12-29,Jordan Davis,13,63,False
2018-12-29,Pardison Fontaine,14,14,False
2018-12-29,MONSTA X,15,38,False
2018-12-29,Lil' Duval,16,21,False
2018-12-29,Calboy,17,3,False
2018-12-29,AJR,18,53,False
2018-12-29,BAEKHYUN,19,7,False
2018-12-29,Yella Beezy,20,29,False
2018-12-29,NCT 127,21,19,False
2018-12-29,JD McPherson,22,5,False
2018-12-29,Morgan Wallen,23,50,False
2018-12-29,Lil Mosey,24,17,False
2018-12-29,flora cash,25,11,False
2018-12-29,Silk City,26,15,False
2018-12-29,Riley Green,27,9,False
2018-12-29,BLACKPINK,28,21,False
2018-12-29,Raymix,29,32,False
2018-12-29,DaniLeigh,30,5,False
2018-12-29,YNW Melly,31,16,False
2018-12-29,Loud Luxury,32,18,False
2018-12-29,Christian Nodal,33,33,False
2018-12-29,Wanna One,34,33,False
2018-12-29,Joyner Lucas,35,16,False
2018-12-29,The Glorious Sons,36,4,False
2018-12-29,Paulo Londra,37,1,True
2018-12-29,Coca Vango,38,3,False
2018-12-29,Cory Asbury,39,44,False
2018-12-29,ASTRO,40,1,True
2018-12-29,"Banda Los Sebastianes de Mazatlan, Sinaloa.",41,1,True
2018-12-29,Badflower,42,11,False
2018-12-29,Virlan Garcia,43,1,True
2018-12-29,Denzel Curry,44,7,False
2018-12-29,TVXQ!,45,1,True
2018-12-29,Summer Walker,46,10,False
2018-12-29,Keala Settle,47,39,False
2018-12-29,Fiersa Besari,48,1,True
2018-12-29,Roddy Ricch,49,2,False
2018-12-29,Calum Scott,50,43,False
2018-12-15,lovelytheband,1,38,False
2018-12-15,Flipp Dinero,2,14,False
2018-12-15,Jimmie Allen,3,18,False
2018-12-15,Mitchell Tenpenny,4,23,False
2018-12-15,Lauv,5,66,False
2018-12-15,Dean Lewis,6,13,False
2018-12-15,Queen Naija,7,39,False
2018-12-15,Louis Tomlinson,8,45,False
2018-12-15,Jacquees,9,44,False
2018-12-15,Pinkfong,10,11,False
2018-12-15,NCT,11,29,False
2018-12-15,Jordan Davis,12,61,False
2018-12-15,Yella Beezy,13,27,False
2018-12-15,MONSTA X,14,37,False
2018-12-15,Lil' Duval,15,19,False
2018-12-15,Pardison Fontaine,16,12,False
2018-12-15,Kirk Jay,17,3,False
2018-12-15,Ava Max,18,6,False
2018-12-15,Lil Mosey,19,15,False
2018-12-15,Chevel Shepherd,20,2,False
2018-12-15,Wanna One,21,31,False
2018-12-15,flora cash,22,9,False
2018-12-15,Rita Ora,23,23,False
2018-12-15,Calum Scott,24,41,False
2018-12-15,DaniLeigh,25,3,False
2018-12-15,BLACKPINK,26,19,False
2018-12-15,The Revivalists,27,32,False
