Artist,Track,Year,Month,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Followers,Popularity,Target
Peach Scone,hobo johnson,2018,04,0.583,0.408,7,-9.125,1,0.564,0.65,0,0.309,0.612,74.738,414807,70,0
Always Focused,tiny moving parts,2014,09,0.404,0.766,1,-7.31,1,0.0325,0.00408,0.00101,0.109,0.528,142.846,77142,55,0
REDNECKER,hardy,2018,10,0.538,0.751,7,-5.472,1,0.0343,0.0506,9.52e-05,0.1,0.51,143.964,19407,66,0
FLASH,x1,2019,08,0.674,0.91,7,-2.898,0,0.0594,0.029,0,0.342,0.599,132.04,144994,64,0
Gretel,(sandy) alex g,2019,09,0.449,0.875,8,-6.172,1,0.041,0.118,0.469,0.29,0.43,140.078,94528,63,0
"Can You Feel the Love Tonight - From ""The Lion King"" / Soundtrack Version",joseph,1994,01,0.296,0.132,5,-19.311,1,0.0719,0.808,0,0.543,0.477,166.765,1153,63,0
Childchewer,infant annihilator,2019,09,0.454,0.985,6,-2.025,1,0.247,2.19e-06,0.889,0.289,0.278,130.1,111011,54,0
Dull,microwave,2016,09,0.58,0.574,8,-6.667,1,0.0326,0.0287,3.87e-05,0.187,0.414,147.073,46711,54,0
Blue Coupe,twin peaks,2018,02,0.597,0.864,5,-5.629,1,0.0271,0.261,0.0747,0.0973,0.55,130.079,106938,56,0
Forever Yours,grayscale,2017,05,0.496,0.614,1,-4.915,1,0.0293,0.114,0,0.116,0.517,76.028,41992,56,0
Daniel,bat for lashes,2009,01,0.593,0.658,8,-8.393,0,0.0364,0.0118,0.0204,0.137,0.422,135.053,272908,57,0
Proud Of U (feat. Young Thug),earthgang,2019,09,0.768,0.456,2,-8.676,1,0.354,0.0691,0,0.162,0.39,77.582,312260,76,0
Everybody Walkin' This Land,paul cauthen,2018,04,0.705,0.424,7,-8.459,1,0.0412,0.842,0.00501,0.204,0.357,96.056,23434,51,0
Glitter & Gold,barns courtney,2017,09,0.487,0.625,8,-5.112,1,0.0401,0.374,0,0.226,0.351,170.397,252513,68,0
Oye Mujer,raymix,2018,02,0.746,0.585,4,-5.937,0,0.0491,0.168,0,0.264,0.948,182.018,242794,68,0
Back to You (feat. Bebe Rexha & Digital Farm Animals),louis tomlinson,2017,07,0.683,0.53,5,-4.918,0,0.142,0.207,0,0.394,0.645,75.016,2621223,73,0
Hurt,witt lowry,2019,08,0.692,0.729,0,-8.261,1,0.418,0.317,0,0.293,0.327,129.896,339538,69,0
Low,wage war,2019,08,0.5,0.967,1,-3.218,1,0.0534,1.25e-05,6.16e-05,0.12,0.498,129.994,163097,65,0
I Wanna Dance with Somebody (Who Loves Me),whitney,1987,06,0.709,0.824,1,-8.824,1,0.0453,0.207,0.000307,0.0888,0.867,118.814,4745972,83,0
Hair Down (feat. Kendrick Lamar),sir,2019,08,0.804,0.509,8,-10.833,0,0.132,0.208,0.00011,0.314,0.472,120.074,211287,73,0
