Artist,Track,Year,Month,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Followers,Popularity,Ranks,Weeks,isNew,Target
new rules,dua lipa,2017,06,0.762,0.7,9,-6.021,0,0.0694,0.00261,1.56e-05,0.153,0.608,116.073,13912445,85,35,46,0,1
freaky friday,lil dicky,2018,03,0.755,0.599,8,-5.042,1,0.224,0.147,0,0.109,0.755,133.123,1392935,73,37,13,0,1
taste,tyga,2018,05,0.884,0.559,0,-7.442,1,0.12,0.0236,0,0.101,0.342,97.994,5145494,89,38,3,0,1
reborn,kids see ghosts,2018,06,0.585,0.597,0,-7.499,1,0.037,0.339,0.0404,0.195,0.227,100.051,376135,69,39,1,1,1
yikes,kanye west,2018,06,0.683,0.776,1,-3.251,0,0.341,0.15,0,0.227,0.223,173.996,10601206,95,40,2,0,1
all girls are the same,juice wrld,2018,12,0.671,0.529,0,-7.226,1,0.307,0.0769,0.000335,0.0856,0.203,161.989,5909097,92,41,5,0,1
4th dimension,kids see ghosts,2018,06,0.765,0.542,1,-6.755,1,0.39,0.278,1.87e-05,0.609,0.734,171.945,376135,69,42,1,1,1
chun-li,nicki minaj,2018,08,0.69,0.729,6,-5.08,0,0.372,0.276,5.08e-05,0.106,0.478,128.96,16399430,90,43,10,0,1
pray for me,the weeknd,2018,02,0.735,0.677,2,-4.979,1,0.093,0.0762,2.17e-05,0.111,0.188,100.584,17508909,89,44,19,0,1
one number away,luke combs,2017,06,0.544,0.781,6,-6.16,0,0.0311,0.00585,0,0.191,0.527,144.075,1833533,83,45,13,0,1
i like me better,lauv,2017,05,0.752,0.505,9,-7.621,1,0.253,0.535,2.55e-06,0.104,0.419,91.97,1841487,89,46,18,0,1
feel the love,kids see ghosts,2018,06,0.58,0.469,0,-5.946,0,0.104,0.126,7.32e-05,0.099,0.369,110.573,376135,69,47,1,1,1
get along,kenny chesney,2018,07,0.632,0.804,7,-6.109,1,0.0503,0.101,0,0.17,0.35,92.456,2683143,76,48,10,0,1
up down,morgan wallen,2018,04,0.589,0.882,6,-3.039,1,0.035,0.0813,0,0.146,0.793,129.915,288843,79,49,12,0,1
