Artist,Track,Year,Month,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Followers,Target
david arkenstone,big bounce,2009,01,0.754,0.422,6.0,-13.382,0.0,0.032,0.044,0.689,0.0431,0.721,108.008,69475,0
the almost,summer summer,2009,01,0.435,0.83,4.0,-5.305,0.0,0.0407,0.00022,0.0,0.153,0.211,136.175,105802,0
kenny rogers,reuben james,1993,01,0.502,0.735,4.0,-12.342,1.0,0.155,0.0939,0.0,0.266,0.891,203.162,549,0
winifred phillips,sporable,2009,10,0.429,0.3,0.0,-13.723,1.0,0.042,0.847,0.336,0.182,0.144,130.139,352592,0
zombina & the skeletones,the waiting,2006,12,0.245,0.836,10.0,-5.264,1.0,0.0625,6.6e-06,0.576,0.526,0.219,93.03,4984,0
mxpx,grey skies turn blue,2005,06,0.39,0.767,11.0,-3.27,1.0,0.0434,4.36e-05,0.00515,0.0506,0.712,175.434,2388,0
zumpano,wraparound shades ,1995,01,0.483,0.713,4.0,-7.934,1.0,0.0513,0.0507,8.34e-05,0.0873,0.336,78.494,36853,0
thrice,red sky,2005,01,0.518,0.771,2.0,-4.644,1.0,0.0464,0.00444,0.0232,0.106,0.155,141.466,30121,0
flora purim,above the rainbow,1977,01,0.123,0.366,0.0,-15.104,1.0,0.0337,0.632,0.00499,0.385,0.133,174.702,51691,0
aceyalone,suicide,2007,10,0.667,0.897,1.0,-4.031,0.0,0.258,0.0818,0.0,0.0788,0.856,97.613,922394,0
pearl jam,wishlist,1998,02,0.623,0.342,0.0,-8.694,1.0,0.038,0.0134,0.00412,0.106,0.101,115.032,1533,0
steel pulse,role model,1997,08,0.816,0.601,1.0,-6.396,0.0,0.272,0.0184,0.0,0.0117,0.756,77.993,5974,0
arrested development,since the last time,2007,10,0.7,0.669,1.0,-6.312,1.0,0.242,0.0395,4.02e-06,0.127,0.597,177.916,136351,0
plies,goons lurkin ,2007,08,0.689,0.546,9.0,-4.966,1.0,0.0374,0.0115,0.0,0.182,0.168,110.972,640,0
milieu,blackwood moth,2007,04,0.708,0.286,10.0,-13.724,1.0,0.143,0.0112,0.87,0.138,0.736,174.06,296921,0
out of the grey,dreaming of april,1995,01,0.32,0.482,7.0,-8.982,1.0,0.0354,0.509,1.37e-06,0.0763,0.289,175.139,7884,0
snow patrol,new sensation,2009,09,0.68,0.373,4.0,-14.407,1.0,0.0314,0.528,0.000193,0.0911,0.311,115.029,23677,0
dart,for the good times,2003,12,0.62,0.503,0.0,-9.75,1.0,0.0631,0.00557,0.00383,0.511,0.689,147.959,1400283,0
pelle carlberg,clever girls like clever boys much more than clever boys like clever girls,2007,03,0.584,0.793,9.0,-5.758,1.0,0.0339,0.0786,1.86e-05,0.131,0.913,84.93,5085039,0
open hand,never alone,2003,01,0.243,0.8,9.0,-7.798,0.0,0.148,0.0596,0.117,0.377,0.177,86.235,342011,0
sex pistols,chatterbox,2010,12,0.25,0.775,4.0,-5.715,0.0,0.0381,1.77e-06,0.899,0.366,0.38,146.752,104020,0
the wreckers,damn that radio [live],2007,11,0.501,0.877,4.0,-5.15,1.0,0.105,0.17,0.0,0.801,0.721,151.915,958926,0
inspiral carpets,keep the circle around,2003,10,0.26,0.976,10.0,-3.998,0.0,0.0808,0.0489,0.653,0.208,0.494,149.791,1604,0
various production,wot u say,2008,09,0.502,0.786,7.0,-8.934,0.0,0.0365,0.0199,0.00123,0.0683,0.86,145.131,5251,0
stephen warbeck,birth of the falls,2003,01,0.0962,0.262,9.0,-14.738,0.0,0.0369,0.825,0.963,0.359,0.0754,67.16,1811283,0
redman,i got a seecret,1998,01,0.633,0.82,1.0,-8.281,1.0,0.378,0.00686,0.0,0.124,0.21,113.282,2428,0
tshala muana,banda yango,1996,01,0.656,0.934,7.0,-5.224,1.0,0.0431,0.406,0.319,0.0614,0.968,127.951,1337,0
hatiras,the anthem,2006,05,0.581,0.827,11.0,-6.274,0.0,0.313,0.000499,0.385,0.329,0.413,132.011,2469,0
jope ruonansuu,rant kanaria,2009,06,0.73,0.379,9.0,-9.169,0.0,0.0381,0.596,6.78e-05,0.0594,0.415,110.922,967410,0
grizzly bear,little brother,2006,09,0.269,0.314,4.0,-13.629,0.0,0.0291,0.9,0.502,0.582,0.183,84.72,1935,0
julie roberts,the chance,2004,01,0.539,0.306,1.0,-11.625,1.0,0.0455,0.624,0.0,0.104,0.113,140.208,54708,0
snap!,do you see the light ,2009,11,0.65,0.629,6.0,-9.995,0.0,0.0287,0.0598,0.000119,0.112,0.536,131.994,74134,0
kristine w.,save my soul ,2004,03,0.705,0.727,9.0,-7.55,0.0,0.067,0.00837,0.000802,0.136,0.558,130.052,863,0
paul avgerinos,song without end,2001,05,0.198,0.189,9.0,-17.325,1.0,0.0354,0.965,0.764,0.0917,0.032,67.933,2665,0
pennywise,6th avenue nightmare,2005,08,0.344,0.954,9.0,-4.856,1.0,0.146,9.91e-05,1.79e-06,0.303,0.6,101.365,533687,0
sandra mihanovich,cuatro estrofas,2017,11,0.274,0.379,9.0,-15.143,1.0,0.0651,0.94,0.00144,0.932,0.38,86.441,4749,0
dixie chicks,give it up or let me go,1998,01,0.617,0.905,2.0,-4.329,1.0,0.0321,0.119,0.00117,0.77,0.769,103.862,2181,0
jake hess,so many reasons,1969,09,0.411,0.231,7.0,-16.865,1.0,0.0308,0.841,8.19e-05,0.326,0.359,79.589,11902,0
the irish tenors,the croppy boy,2011,02,0.26,0.035,10.0,-21.021,1.0,0.0367,0.951,2.48e-06,0.109,0.0978,94.532,604110,0
keep of kalessin,many are we,2006,04,0.374,0.997,3.0,-5.078,1.0,0.202,0.00087,0.805,0.255,0.036,109.883,82744,0
eyes set to kill,play the part,2010,06,0.41,0.997,8.0,-3.862,1.0,0.152,0.00157,0.0,0.16,0.256,194.998,92971,0
chroma key,salvation,2004,01,0.541,0.423,4.0,-11.694,0.0,0.0277,0.468,0.464,0.167,0.217,120.034,5707,0
ten madison,elementro,2004,06,0.663,0.954,8.0,-7.929,0.0,0.0493,0.00125,0.878,0.123,0.424,138.998,2496,0
james horner,the stranger,2003,11,0.275,0.0441,2.0,-30.517,0.0,0.0333,0.838,0.624,0.113,0.0771,94.917,445140,0
jason michael carroll,no good in goodbye,2007,02,0.391,0.796,2.0,-3.074,1.0,0.0338,0.352,0.0,0.278,0.334,175.37,28154,0
twista,girl tonite ,2005,10,0.668,0.724,7.0,-5.953,1.0,0.0536,0.00551,0.0,0.218,0.318,148.522,823061,0
stefon harris,from the gardner meditations: african tarantella,2006,01,0.343,0.461,1.0,-10.851,0.0,0.0368,0.917,0.853,0.288,0.293,70.155,3814,0
fruko y sus tesos,la fruta bomba,2015,07,0.826,0.845,8.0,-6.804,1.0,0.0457,0.149,0.000366,0.0331,0.892,105.88,4072,0
